timestep,mean_coins,mean_health,step_reward,avg_rounds
1,9.77,0.0,0.10630001127719879,0
2,9.73,0.0,0.10540002584457397,0
3,9.26,0.0,0.11000002920627594,0
4,9.01,0.0,0.10620000958442688,0
5,8.87,0.0,-0.10000003129243851,0
